,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,Major,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,artist_dominance,months_since_release,streams_per_month
45,2,2018,10,9,24094,78,2808096550.0,90,1,76,91,50,54,0,7,5,1739,1,57.12877792378449,49153800.44968373
46,2,2022,8,26,12482,80,1109433169.0,128,0,56,38,97,4,0,35,4,322,1,10.578186596583445,104879334.36136648
47,3,2017,7,21,13387,64,1047101291.0,79,1,56,58,56,37,0,11,10,2184,1,71.74770039421813,14594213.96430403
48,3,2023,6,23,1117,80,65156199.0,144,1,77,75,58,52,0,23,25,21,1,1.0,65156199.0
49,1,2020,11,27,3372,19,570515054.0,122,1,67,49,64,10,0,10,3,959,2,31.50459921156373,18108944.988279454
50,1,2020,11,27,3372,19,570515054.0,122,1,67,49,64,10,0,10,3,959,2,31.50459921156373,18108944.988279454
51,1,2022,5,13,8431,76,1085685420.0,140,1,71,82,81,11,0,6,5,427,2,14.027595269382392,77396403.24309133
52,1,2016,11,24,2483,59,1647990401.0,134,0,59,51,52,9,0,15,7,2423,22,79.59921156373193,20703602.066215437
53,2,2016,9,21,29536,79,2565529693.0,186,1,68,49,59,16,0,13,28,2487,1,81.70170827858081,31401175.655375957
54,2,2023,2,24,3408,47,518745108.0,67,0,53,50,53,23,0,44,7,140,2,4.599211563731932,112790007.768
55,3,2023,6,2,1298,38,107753850.0,106,0,72,17,64,7,0,10,5,42,1,1.3797634691195797,78095885.57142857
56,3,2023,4,6,4277,66,177740666.0,128,1,60,23,91,0,0,12,3,99,1,3.252299605781866,54650766.39434344
57,1,2023,2,24,1133,39,153372011.0,107,0,92,55,70,18,0,15,7,140,4,4.599211563731932,33347457.24885714
58,1,2023,2,24,1133,39,153372011.0,107,0,92,55,70,18,0,15,7,140,4,4.599211563731932,33347457.24885714
59,1,2023,6,15,2259,59,57876440.0,130,0,67,96,88,12,19,8,4,29,1,1.0,57876440.0
60,1,2012,10,15,18371,83,1813673666.0,123,0,45,13,54,70,0,9,4,3924,1,128.90932982917212,14069374.717900105
