track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,mode_x,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,streams_per_day,artist_dominance
Worst Day,Future,1,2022,2,11,910,0,50746620.0,89,Major,65,60,60,11,0,10,40,519,97777.68786127168,2
Worst Day,Future,1,2022,2,11,910,0,50746620.0,89,Major,65,60,60,11,0,10,40,519,97777.68786127168,2
Worst Day,Future,1,2022,2,11,910,0,50746620.0,89,Major,65,60,60,11,0,10,40,519,97777.68786127168,2
Worst Day,Future,1,2022,2,11,910,0,50746620.0,89,Major,65,60,60,11,0,10,40,519,97777.68786127168,2
Worst Day,Future,1,2022,2,11,910,0,50746620.0,89,Major,65,60,60,11,0,10,40,519,97777.68786127168,2
Malvada,Zï¿½ï¿½ Fe,1,2022,1,28,601,0,154119539.0,135,Minor,89,89,86,16,0,8,5,533,289154.8574108818,1
Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,181328253.0,140,Minor,51,66,53,60,0,11,18,603,300710.2039800995,1
Alien Blues,Vundabar,1,2015,7,24,1930,0,370068639.0,82,Major,47,44,76,8,91,9,3,2913,127040.3841400618,1
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092.0,79,Major,78,58,45,47,0,18,3,3482,654958.6708788053,9
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092.0,79,Major,78,58,45,47,0,18,3,3482,654958.6708788053,9
Still Don't Know My Name,Labrinth,1,2019,10,4,6332,0,563902868.0,88,Major,31,31,63,47,27,21,12,1380,408625.26666666666,7
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
Christmas Tree,V,1,2021,12,24,509,9,317622165.0,139,Major,44,18,38,70,0,12,4,568,559193.9524647887,1
