track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,mode_x,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,streams_per_day,artist_dominance
Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0,123216717.0,140,Minor,92,78,57,46,0,14,9,428,287889.5257009346,1
La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6,1796,8,479655659.0,196,Minor,66,58,79,23,0,22,20,435,1102656.6873563218,1
Count Me Out,Kendrick Lamar,1,2022,5,13,2729,0,126191104.0,134,Major,78,51,43,69,0,14,9,428,294839.0280373832,12
Andrea,"Buscabulla, Bad Bunny",2,2022,5,6,1195,0,344055883.0,103,Minor,80,45,62,76,0,10,38,435,790933.0643678161,1
Dos Mil 16,Bad Bunny,1,2022,5,6,892,3,338422004.0,130,Major,82,50,67,12,0,13,5,435,777981.6183908046,19
We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,68895644.0,108,Major,65,52,69,31,0,8,36,428,160971.13084112148,1
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0,86176890.0,123,Major,61,66,71,53,0,32,46,428,201347.8738317757,1
Un Coco,Bad Bunny,1,2022,5,6,1029,28,403231558.0,152,Major,84,74,69,21,0,18,6,435,926969.0988505748,19
Otro Atardecer,"Bad Bunny, The Marï¿½ï",2,2022,5,6,1681,7,319546754.0,108,Major,78,55,60,59,0,7,4,435,734590.2390804598,1
Worldwide Steppers,Kendrick Lamar,1,2022,5,13,1480,0,61739839.0,72,Minor,56,56,47,76,0,8,36,428,144251.96028037384,12
Aguacero,Bad Bunny,1,2022,5,6,829,0,283359161.0,121,Minor,86,67,65,42,0,35,7,435,651400.3701149425,19
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,76831876.0,138,Minor,57,71,82,19,0,15,29,428,179513.7289719626,1
Un Verano Sin Ti,Bad Bunny,1,2022,5,6,1004,1,283332261.0,188,Minor,50,41,50,69,0,12,6,435,651338.5310344828,19
ULTRA SOLO,"Polima WestCoast, Pailita",2,2022,2,14,1367,0,307752576.0,110,Major,80,26,85,23,0,11,21,516,596419.7209302326,1
Ensï¿½ï¿½ï¿½ï¿½ame ,Bad Bunny,1,2022,5,6,1112,3,279737940.0,105,Major,81,77,79,19,0,47,8,435,643075.724137931,19
El Apagï¿½,Bad Bunny,1,2022,5,6,1209,0,212351890.0,118,Major,63,60,70,5,0,9,31,435,488165.2643678161,19
Callaita,"Bad Bunny, Tainy",2,2019,5,31,9539,15,1304313953.0,176,Major,61,24,62,60,0,24,31,1506,866078.3220451528,1
Dua Lipa,Jack Harlow,1,2022,5,6,1992,0,150500965.0,158,Major,83,41,65,0,10,11,8,435,345979.2298850575,3
Agosto,Bad Bunny,1,2022,5,6,897,0,246127838.0,115,Minor,85,72,58,9,0,49,12,435,565811.1218390805,19
House Of Memories,Panic! At The Disco,1,2016,1,15,2948,0,582863434.0,110,Minor,51,48,82,0,0,5,3,2738,212879.2673484295,1
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,58687425.0,174,Major,73,26,54,30,0,34,32,428,137120.15186915887,1
That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,0,212109195.0,130,Major,91,91,96,3,0,3,9,442,479885.056561086,1
In The Stars,Benson Boone,1,2022,4,29,2224,8,382199619.0,78,Major,36,30,54,34,0,14,5,442,864705.0203619909,1
Rich - Interlude,Kendrick Lamar,1,2022,5,13,1103,0,41210087.0,104,Major,44,74,42,88,0,9,9,428,96285.25,12
SUPERMODEL,Mï¿½ï¿½ne,1,2022,5,13,2265,0,231657891.0,121,Major,64,80,88,0,0,12,6,428,541256.7546728972,4
Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,0,53729194.0,105,Major,83,32,82,14,0,12,4,492,109205.67886178862,1
Thousand Miles,The Kid Laroi,1,2022,4,22,2050,0,244741137.0,81,Major,38,20,66,9,0,9,8,449,545080.4832962138,2
Crown,Kendrick Lamar,1,2022,5,13,1493,0,42485571.0,170,Minor,37,14,24,80,0,11,4,428,99265.35280373832,12
Auntie Diaries,Kendrick Lamar,1,2022,5,13,1545,0,37778188.0,78,Major,43,60,38,76,1,48,38,428,88266.79439252337,12
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,254218729.0,125,Major,88,28,66,6,0,13,31,442,575155.4954751132,2
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,254218729.0,125,Major,88,28,66,6,0,13,31,442,575155.4954751132,2
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,254218729.0,125,Major,88,28,66,6,0,13,31,442,575155.4954751132,2
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,254218729.0,125,Major,88,28,66,6,0,13,31,442,575155.4954751132,2
PUFFIN ON ZOOTIEZ,Future,1,2022,4,29,2350,0,254218729.0,125,Major,88,28,66,6,0,13,31,442,575155.4954751132,2
Mirror,Kendrick Lamar,1,2022,5,13,1929,0,53603447.0,92,Minor,66,29,65,23,0,8,7,428,125241.69859813084,12
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717.0,140,Minor,84,61,42,31,0,9,9,449,356426.98663697107,1
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717.0,140,Minor,84,61,42,31,0,9,9,449,356426.98663697107,1
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717.0,140,Minor,84,61,42,31,0,9,9,449,356426.98663697107,1
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717.0,140,Minor,84,61,42,31,0,9,9,449,356426.98663697107,1
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717.0,140,Minor,84,61,42,31,0,9,9,449,356426.98663697107,1
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717.0,140,Minor,84,61,42,31,0,9,9,449,356426.98663697107,1
Beautiful Girl,Luciano,1,2022,4,22,710,4,160035717.0,140,Minor,84,61,42,31,0,9,9,449,356426.98663697107,1
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022,4,25,928,0,164163229.0,96,Major,61,32,90,25,0,10,9,446,368078.9887892377,1
Savior - Interlude,Kendrick Lamar,1,2022,5,13,1194,0,37091576.0,118,Minor,66,83,43,84,0,19,19,428,86662.56074766355,12
Pasoori,"Shae Gill, Ali Sethi",2,2022,2,6,349,6,284249832.0,92,Minor,71,67,60,7,0,6,4,524,542461.5114503817,1
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,2022,5,13,1890,0,33381454.0,140,Minor,49,50,37,87,0,11,35,428,77994.05140186916,1
TUS Lï¿½ï¿½GR,"Sech, Mora",2,2022,4,1,1308,2,184622518.0,174,Major,68,45,71,18,0,11,25,470,392813.8680851064,1
Where Did You Go?,"MNEK, Jax Jones",2,2022,1,26,4531,0,300983101.0,127,Major,77,53,78,19,0,29,4,535,562585.2355140187,1
I Tried to Tell Y'all,"Ugly Dray, Tesla Jnr",2,2022,5,6,1657,0,121077868.0,96,Major,71,37,52,62,0,11,36,435,278339.9264367816,1
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",2,2022,4,29,1351,0,106919680.0,150,Minor,82,82,66,13,0,11,6,442,241899.72850678733,1
ZOOM,Jessi,1,2022,4,13,608,0,136996305.0,100,Major,87,46,60,1,0,13,16,458,299118.56986899563,1
ZOOM,Jessi,1,2022,4,13,608,0,136996305.0,100,Major,87,46,60,1,0,13,16,458,299118.56986899563,1
ZOOM,Jessi,1,2022,4,13,608,0,136996305.0,100,Major,87,46,60,1,0,13,16,458,299118.56986899563,1
ZOOM,Jessi,1,2022,4,13,608,0,136996305.0,100,Major,87,46,60,1,0,13,16,458,299118.56986899563,1
ZOOM,Jessi,1,2022,4,13,608,0,136996305.0,100,Major,87,46,60,1,0,13,16,458,299118.56986899563,1
SloMo,Chanel,1,2021,12,24,1211,0,65719930.0,105,Minor,73,59,81,13,0,9,6,568,115704.10211267606,1
SloMo,Chanel,1,2021,12,24,1211,0,65719930.0,105,Minor,73,59,81,13,0,9,6,568,115704.10211267606,1
SloMo,Chanel,1,2021,12,24,1211,0,65719930.0,105,Minor,73,59,81,13,0,9,6,568,115704.10211267606,1
FEARLESS,LE SSERAFIM,1,2022,5,2,629,0,229497852.0,104,Major,86,43,62,5,0,13,14,439,522774.1503416856,2
10 Things I Hate About You,Leah Kate,1,2022,3,23,1301,0,185550869.0,154,Major,54,45,79,1,0,17,5,479,387371.3340292276,1
SPACE MAN,Sam Ryder,1,2022,2,22,1329,0,54682594.0,80,Major,47,33,83,18,0,10,5,508,107642.90157480317,1
With you,"HA SUNG WOON, Jimin",2,2022,4,24,343,2,240580042.0,150,Major,53,14,43,64,0,13,3,447,538210.3847874721,1
Iris,The Goo Goo Dolls,1,1998,3,31,13101,9,1284942608.0,156,Minor,32,49,72,0,0,9,4,9237,139108.2178196384,1
The Heart Part 5,Kendrick Lamar,1,2022,5,8,2939,0,71423324.0,98,Minor,76,79,81,18,0,6,34,433,164949.93995381062,12
San Lucas,Kevin Kaarl,1,2019,11,7,407,1,244891912.0,92,Major,58,27,36,86,0,9,3,1346,181940.499257058,1
This Love (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2022,5,6,1492,0,132171975.0,144,Major,47,7,50,32,0,7,4,435,303843.6206896552,34
Good Looking,Suki Waterhouse,1,2017,10,20,2264,0,184706613.0,150,Major,37,27,56,8,0,13,3,2094,88207.55157593123,1
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429.0,138,Major,70,31,44,84,0,9,39,705,262165.1475177305,1
Yet To Come,BTS,1,2022,6,10,829,0,302006641.0,172,Major,56,68,89,4,0,33,19,400,755016.6025,8
Run BTS,BTS,1,2022,6,10,736,0,330881149.0,77,Major,72,70,82,2,0,4,17,400,827202.8725,8
Music For a Sushi Restaurant,Harry Styles,1,2022,5,20,4449,1,334733572.0,107,Major,72,36,72,26,6,11,4,421,795091.619952494,17
Matilda,Harry Styles,1,2022,5,20,3218,3,366214458.0,114,Major,51,39,29,90,0,10,4,421,869868.0712589073,17
For Youth,BTS,1,2022,6,10,327,0,114546317.0,117,Major,63,29,51,43,0,25,4,400,286365.7925,8
Daylight,Harry Styles,1,2022,5,20,2775,0,290833204.0,146,Major,69,63,45,48,0,18,4,421,690815.2114014252,17
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,4576,0,448500832.0,160,Minor,80,74,60,8,0,14,26,435,1031036.3954022988,6
Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022,6,10,2313,0,136676504.0,120,Major,88,15,56,1,0,8,6,400,341691.26,1
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,2022,5,27,3983,0,190625045.0,100,Minor,82,76,70,16,0,8,5,414,460446.9685990338,1
Born Singer,BTS,1,2022,6,10,279,0,79095270.0,158,Minor,60,68,84,4,0,24,11,400,197738.175,8
Little Freak,Harry Styles,1,2022,5,20,2302,0,273194684.0,142,Major,56,40,54,72,0,10,4,421,648918.4893111639,17
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",4,2022,5,20,3559,3,333146475.0,170,Minor,80,77,85,11,0,17,14,421,791321.7933491686,1
True Love,"Kanye West, XXXTENTACION",2,2022,5,27,2129,0,194902696.0,84,Minor,71,39,86,2,0,51,25,414,470779.4589371981,1
Satellite,Harry Styles,1,2022,5,20,3291,5,311482393.0,139,Major,58,30,46,14,0,9,3,421,739863.1662707839,17
Pass The Dutchie,Musical Youth,1,1982,1,1,5328,0,195918494.0,151,Major,73,88,67,20,0,32,5,15170,12914.864469347396,1
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",2,2022,6,8,1401,0,248511839.0,128,Minor,82,42,75,6,0,63,6,402,618188.6542288557,1
Love Of My Life,Harry Styles,1,2022,5,20,1933,0,233671263.0,118,Major,56,20,54,67,0,6,5,421,555038.6294536818,17
Grapejuice,Harry Styles,1,2022,5,20,1986,0,199587884.0,183,Major,65,88,72,36,14,20,3,421,474080.4845605701,17
So Good,Halsey,1,2022,6,9,1057,0,91781263.0,83,Minor,63,29,62,4,0,18,4,401,228880.95511221944,1
Belly Dancer,"BYOR, Imanbek",2,2022,2,18,5115,13,383835984.0,122,Major,85,42,80,6,0,17,14,512,749679.65625,1
Keep Driving,Harry Styles,1,2022,5,20,2094,1,236060709.0,165,Major,72,90,48,32,0,18,23,421,560714.2731591449,17
Cinema,Harry Styles,1,2022,5,20,2171,0,189236868.0,106,Minor,83,90,64,35,5,9,4,421,449493.7482185273,17
Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022,5,25,896,0,160845341.0,77,Major,81,68,58,83,0,11,34,416,386647.4543269231,1
Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1,5148,0,588955257.0,91,Major,57,30,89,10,0,33,8,3482,169142.8078690408,1
Hold My Hand,Lady Gaga,1,2022,5,3,2528,0,238350348.0,148,Major,51,21,63,5,0,41,3,438,544178.8767123288,2
Daydreaming,Harry Styles,1,2022,5,20,1900,1,187703102.0,114,Minor,71,90,81,31,2,13,3,421,445850.5985748218,17
Numb,"Marshmello, Khalid",2,2022,6,10,3879,2,295307001.0,120,Minor,91,63,77,12,1,10,5,400,738267.5025,1
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,2022,6,2,896,0,138334433.0,92,Major,83,56,82,10,0,9,5,408,339054.98284313723,1
Me and Your Mama,Childish Gambino,1,2016,11,10,8775,0,445590495.0,118,Major,56,25,45,1,3,7,3,2438,182768.8658736669,1
Crazy What Love Can Do,"David Guetta, Ella Henderson, Becky Hill",3,2022,3,18,5290,0,286739476.0,123,Minor,60,46,71,3,0,16,4,484,592436.9338842975,1
SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211,0,1122364376.0,89,Major,52,28,48,54,1,19,3,1767,635180.7447651386,3
SLOW DANCING IN THE DARK,Joji,1,2018,9,12,10211,0,1122364376.0,89,Major,52,28,48,54,1,19,3,1767,635180.7447651386,3
Antes de Perderte,Duki,1,2022,6,2,584,8,157136970.0,110,Minor,81,61,93,49,0,12,11,408,385139.6323529412,2
Boyfriends,Harry Styles,1,2022,5,20,1517,0,137070925.0,118,Major,42,32,20,94,0,11,4,421,325584.14489311166,17
295,Sidhu Moose Wala,1,2021,5,15,246,4,183273246.0,90,Minor,68,54,76,21,0,11,20,791,231698.1618204804,1
Tak Ingin Usai,Keisya Levronka,1,2022,5,13,220,4,184807630.0,130,Major,49,14,40,82,0,11,3,428,431793.5280373832,1
En El Radio Un Cochinero,Victor Cibrian,1,2022,5,13,514,0,164856284.0,154,Minor,70,97,62,47,0,10,4,428,385178.2336448598,1
Master of Puppets (Remastered),Metallica,1,1986,3,3,6080,0,704171068.0,105,Minor,54,59,83,0,44,20,4,13648,51595.18376318875,1
BREAK MY SOUL,Beyoncï¿,1,2022,6,21,9724,0,354614964.0,115,Minor,70,87,88,4,0,26,8,389,911606.59125964,3
ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",5,2022,6,16,2341,0,279717388.0,110,Major,91,59,82,8,0,6,8,394,709942.6091370558,1
Massive,Drake,1,2022,6,17,5263,0,195628667.0,125,Minor,51,5,68,12,2,15,6,393,497782.8676844784,4
Massive,Drake,1,2022,6,17,5263,0,195628667.0,125,Minor,51,5,68,12,2,15,6,393,497782.8676844784,4
Massive,Drake,1,2022,6,17,5263,0,195628667.0,125,Minor,51,5,68,12,2,15,6,393,497782.8676844784,4
Massive,Drake,1,2022,6,17,5263,0,195628667.0,125,Minor,51,5,68,12,2,15,6,393,497782.8676844784,4
Betty (Get Money),Yung Gravy,1,2022,6,10,2402,0,221752937.0,102,Major,73,62,75,0,0,34,8,400,554382.3425,1
Ojos Marrones,Lasso,1,2022,2,6,795,11,263280370.0,120,Minor,81,72,65,4,0,14,4,524,502443.4541984733,1
Ojos Marrones,Lasso,1,2022,2,6,795,11,263280370.0,120,Minor,81,72,65,4,0,14,4,524,502443.4541984733,1
Ojos Marrones,Lasso,1,2022,2,6,795,11,263280370.0,120,Minor,81,72,65,4,0,14,4,524,502443.4541984733,1
Ojos Marrones,Lasso,1,2022,2,6,795,11,263280370.0,120,Minor,81,72,65,4,0,14,4,524,502443.4541984733,1
POP!,Nayeon,1,2022,6,24,571,0,213505179.0,97,Major,80,36,86,4,0,3,5,386,553122.2253886011,1
Layla,"Schï¿½ï¿½rze, DJ R",2,2022,3,24,832,3,130419412.0,140,Minor,44,41,92,0,0,44,7,478,272843.95815899584,1
MORE,j-hope,1,2022,7,1,565,0,155795783.0,97,Major,78,31,72,1,0,11,4,379,411070.6675461741,1
Sweet Child O' Mine,Guns N' Roses,1,1987,1,1,41231,1,1553497987.0,125,Major,45,67,90,9,11,10,5,13344,116419.21365407674,1
Last Last,Burna Boy,1,2022,5,12,4526,12,293466523.0,88,Minor,80,55,56,13,0,8,9,429,684071.1491841492,2
SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595.0,170,Major,56,52,64,11,0,45,7,483,1472808.685300207,2
Sticky,Drake,1,2022,6,17,2814,0,191448892.0,137,Minor,88,8,49,9,0,9,14,393,487147.3078880407,4
Sticky,Drake,1,2022,6,17,2814,0,191448892.0,137,Minor,88,8,49,9,0,9,14,393,487147.3078880407,4
Sticky,Drake,1,2022,6,17,2814,0,191448892.0,137,Minor,88,8,49,9,0,9,14,393,487147.3078880407,4
Sticky,Drake,1,2022,6,17,2814,0,191448892.0,137,Minor,88,8,49,9,0,9,14,393,487147.3078880407,4
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",3,2022,7,1,1601,0,85924992.0,157,Major,88,52,69,0,0,8,23,379,226715.018469657,1
Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",3,2022,6,3,894,4,176103902.0,130,Major,95,83,57,54,0,10,25,407,432687.7199017199,1
La Loto,"Anitta, Tini, Becky G",3,2022,7,6,945,0,121189256.0,90,Major,85,80,83,10,0,8,11,374,324035.4438502674,1
die first,Nessa Barrett,1,2022,6,24,767,0,131746175.0,183,Minor,44,44,67,7,0,12,13,386,341311.3341968912,1
Afraid To Feel,LF System,1,2022,5,2,5898,5,244790012.0,128,Major,58,68,91,2,0,27,11,439,557608.2277904327,1
Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",3,2022,6,10,685,2,129314708.0,130,Minor,71,78,40,46,0,7,45,400,323286.77,1
cï¿½ï¿½mo dormi,Rels B,1,2022,8,4,1452,35,331511413.0,126,Major,63,56,43,24,0,12,23,345,960902.6463768115,1
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",3,2022,8,5,1456,0,219196651.0,120,Major,77,94,87,2,0,23,12,344,637199.5668604651,1
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2022,8,5,2107,0,170732845.0,130,Minor,72,18,46,7,0,28,8,344,496316.4098837209,1
Caile,Luar La L,1,2020,12,18,1494,2,273914335.0,122,Major,70,46,76,30,0,9,45,939,291708.55697550584,1
Si Te La Encuentras Por Ahï¿,Feid,1,2022,8,5,1379,4,179061440.0,172,Minor,74,46,58,15,0,13,8,344,520527.4418604651,8
GIVENCHY,Duki,1,2022,7,20,625,4,185236961.0,103,Major,61,38,62,14,0,23,40,360,514547.1138888889,2
ALIEN SUPERSTAR,Beyoncï¿,1,2022,7,29,2688,0,171788484.0,122,Minor,55,46,64,0,0,17,10,351,489425.8803418803,3
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Mary On A Cross,Ghost,1,2019,9,13,2668,2,387080183.0,130,Major,47,56,90,0,0,10,4,1401,276288.4960742327,1
Attention,NewJeans,1,2022,8,1,799,12,264717480.0,105,Minor,81,70,65,24,0,8,4,348,760682.4137931034,6
THE SHADE,Rex Orange County,1,2022,3,11,1189,6,244928911.0,120,Major,90,73,51,39,0,9,6,491,498836.88594704686,1
"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0,97610446.0,145,Major,56,43,53,24,0,12,4,368,265245.777173913,1
El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,4,287278853.0,99,Minor,79,64,59,28,0,11,14,358,802454.8966480447,1
Heartless,Kanye West,1,2008,1,1,17504,34,887906111.0,88,Minor,79,66,65,5,0,25,14,5674,156486.80137469157,3
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0,123473120.0,126,Major,81,90,73,28,0,29,4,365,338282.5205479452,1
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15,685,5,295152154.0,136,Major,77,71,75,33,1,13,4,334,883689.0838323353,1
JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,9,323455692.0,113,Major,70,97,59,55,0,27,12,512,631749.3984375,1
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,2442,0,240918092.0,132,Major,82,49,88,20,0,21,3,394,611467.2385786802,1
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4,191873381.0,135,Major,77,74,74,47,0,34,8,421,455756.24940617575,1
Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10,4967,0,284216603.0,126,Major,67,49,77,11,0,19,11,2073,137104.00530631933,1
Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,239411309.0,102,Minor,67,72,74,30,0,36,4,309,774793.8802588996,3
After LIKE,IVE,1,2022,8,22,767,12,265548837.0,125,Major,68,80,92,10,0,9,12,327,812075.9541284404,4
Bound 2,Kanye West,1,2013,1,1,19806,7,703301727.0,149,Major,37,28,66,14,0,9,5,3847,182818.22900961788,3
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15,5153,6,244585109.0,137,Major,74,71,89,24,61,15,5,395,619202.8075949367,1
Talk that Talk,TWICE,1,2022,8,26,615,0,189476119.0,120,Minor,77,78,91,14,0,33,12,323,586613.3715170278,2
BILLIE EILISH.,Armani White,1,2022,1,20,2537,0,277132266.0,100,Major,90,75,50,11,0,9,26,541,512259.2717190389,1
Ferxxo 100,Feid,1,2022,6,3,1647,30,278920007.0,164,Minor,70,58,57,25,0,15,7,407,685307.1425061425,8
KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10,2019,8,222410722.0,93,Minor,65,79,66,31,0,22,7,400,556026.805,1
Prohibidox,Feid,1,2022,9,13,1473,12,185392587.0,180,Minor,65,52,80,5,0,6,25,305,607844.5475409837,8
Static,Steve Lacy,1,2022,7,15,1613,0,202452860.0,79,Major,34,22,31,43,63,10,7,365,554665.3698630137,3
Static,Steve Lacy,1,2022,7,15,1613,0,202452860.0,79,Major,34,22,31,43,63,10,7,365,554665.3698630137,3
The Scientist,Coldplay,1,2002,8,5,30992,6,1608164312.0,146,Major,56,21,44,73,0,11,2,7649,210245.04013596548,3
Sparks,Coldplay,1,2000,7,10,10826,4,624101957.0,103,Major,37,17,27,75,5,10,3,8405,74253.65342058298,3
Talk,YEAT,1,2022,9,2,920,0,148461629.0,140,Minor,70,26,76,8,0,54,23,316,469815.2816455696,2
XQ Te Pones Asï¿,"Yandel, Feid",2,2022,9,13,308,0,47093942.0,92,Major,81,48,70,13,0,15,7,305,154406.36721311475,2
Selfish,PnB Rock,1,2016,6,23,2468,0,380319238.0,102,Minor,64,4,60,11,0,19,4,2578,147524.91776570986,1
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,2,209106362.0,118,Minor,82,75,85,33,1,11,4,358,584095.9832402235,1
Lady Mi Amor,Feid,1,2022,9,13,330,0,53987404.0,93,Major,78,75,62,6,0,15,6,305,177007.88196721312,8
Poland,Lil Yachty,1,2022,6,23,1584,0,115331792.0,150,Minor,70,26,56,14,83,11,5,387,298014.9664082687,1
THE LONELIEST,Mï¿½ï¿½ne,1,2022,10,7,1585,5,225093344.0,130,Major,52,24,60,0,0,8,3,281,801043.9288256228,4
Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,84697729.0,83,Minor,65,24,53,6,0,51,4,274,309115.799270073,1
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0,159240673.0,102,Major,84,43,75,5,0,6,8,331,481089.6465256797,1
Nxde,(G)I-DLE,1,2022,10,17,430,6,170709584.0,136,Minor,73,65,91,4,0,48,18,271,629924.6642066421,2
Miss You,Southstar,1,1982,5,16,2020,0,154356956.0,145,Major,66,24,58,17,0,19,5,15035,10266.50854672431,1
we fell in love in october,girl in red,1,2018,11,21,6858,0,723043854.0,130,Major,57,24,37,11,18,16,3,1697,426071.8055391868,1
2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6,247689123.0,156,Major,72,92,77,9,0,8,11,366,676746.237704918,3
Celestial,Ed Sheeran,1,2022,9,29,1639,0,176474912.0,123,Major,57,50,85,5,0,16,4,289,610639.8339100346,9
